FID,place_name_mapping,place_name_gazetteer,gaz_id,altitude,feature_type_name,narrative,gazetteer,latitude,longitude,geometry,scar_common_id,country_name,country_id
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c06,Mount Adam,"Adam, Mount",112602,,Mountain,"Mountain (4,010 m) situated 2.5 mi WNW of Mount Minto in the Admiralty Mountains. Discovered in Jan. 1841 by Capt. James Clark Ross, RN, who named this feature for V. Admiral Sir Charles Adam, a senior naval lord of the Admiralty.",NZL,-71.7833,168.6167,POINT (168.616667 -71.783333),66,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c07,Adare Glacier,Adare Glacier,112603,,Glacier,"Refers to the glacier margin immediately above the Cape Bird Hut and Northern Rookery. The name refers essentially to the lobate cliffed margin stretching 3km from a small ridge to where the glacier enters the sea. Descending from Mount Bird, Ross Island.",NZL,-71.7167,170.2,POINT (170.2 -71.716667),67,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c08,Cape Adare,"Adare, Cape",112604,,Cape,"A prominent cape of black basalt which is in visual contrast to the rest of the snow-covered coast, forming the N tip of Adare Peninsula. The cape marks the NE extremity of Victoria Land and the W side of the entrance to the Ross Sea. Discovered in Jan. 1841 by Capt. James Ross, RN, who named it for his friend Viscount Adare, M.P. for Glamorganshire.",NZL,-71.2833,170.2333,POINT (170.233333 -71.283333),72,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c09,Adélie Cove,Adélie Cove,112605,,Cove,A 1½km wide by 2½km deep bay in the coast of the Northern Foothills.,NZL,-74.7667,164,POINT (164 -74.766667),78,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c0a,Adele Glacier,Adele Glacier,112606,,Glacier,"Refers to the glacier margin immediately above the Cape Bird hut and northern rookery. The name refers essentially to the lobate cliffed margin stretching 3 km from a small ridge to where the glacier enters the sea, descending from Mount Bird, Ross Island.",NZL,-77.2167,166.5,POINT (166.5 -77.216667),76,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c0b,Admiralty Mountains,Admiralty Mountains,112607,,Mountain,"A large group of high mountains and individually named ranges and ridges in NE Victoria Land which are bounded by the sea, and by the Dennistoun, Ebbe, and Tucker Glaciers. Discovered in Jan. 1841 by Capt. James Ross, RN, and named by him for the Lords Commissioners of the Admiralty under whose orders he served.",NZL,-71.75,168.5,POINT (168.5 -71.75),88,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c0c,Mount Aeolus,"Aeolus, Mount",112608,,Mountain,"Prominent peak, over 2,000 m, between Mounts Boreas and Hercules in the Olympus Range of Victoria Land. Named by the VUWAE (1958-59) for the Greek god of the winds.",NZL,-77.4833,161.2667,POINT (161.266667 -77.483333),97,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c0d,Aeronaut Glacier,Aeronaut Glacier,112609,,Glacier,"A glacier of low gradient, about 25 mi long, draining NE from Gair Mesa into the upper part of Aviator Glacier near Navigator Nunatak, in Victoria Land. Named by the northern party of NZGSAE, 1962-63, to commemorate the air support provided by U.S. Navy Squadron VX-6, and in association with Aviator Glacier.",NZL,-73.2667,163.6,POINT (163.6 -73.266667),99,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c0e,Aiken Glacier,Aiken Glacier,112610,,Glacier,"A small glacier between Von Guerard Glacier and Wales Glacier on the N slope of Kukri Hills, Victoria Land. Named by US-ACAN (1997) from association with Aiken Creek, which flows N from this glacier into Taylor Valley.",NZL,-77.6333,163.4,POINT (163.4 -77.633333),16638,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c0f,Ainley Peak,Ainley Peak,112611,1240,Peak,"A prominent peak, 1240 m, located 3 mi SW of Post Office Hill in E Ross Island. Named after David G. Ainley, Point Reyes Bird Observatory, Stinson Beach, CA, a USAP ornithologist who studied penguin and skua populations at Cape Crozier and McMurdo Sound in six seasons, 1969-70 to 1983-84.",NZL,-77.5,169.0333,POINT (169.033333 -77.5),16796,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c10,Airdevronsix Icefalls,Airdevronsix Icefalls,112612,,,"A line of icefalls at the head of Wright Upper Glacier, in Victoria Land. Named by USN OpDFrz (1956-57) for U.S. Navy Air Development Squadron Six, which had been formed to provide air support for the Deep Freeze operations and which had also carried out many important Antarctic exploratory flights.",NZL,-77.5167,160.3667,POINT (160.366667 -77.516667),133,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c11,Airdrop Peak,Airdrop Peak,112613,,Peak,"A twin-peaked mountain (890 m) at the N end of Commonwealth Range. It is the first prominent feature in Ebony Ridge when approached from the northwest. When N.Z. surveyors were making observations from the higher of the two peaks on Dec. 11, 1959, an R4D aircraft of U.S. Navy Squadron VX-6 flew overhead to drop a spare radio to the expedition whose original one had broken down. So named because of this incident by the N.Z. Alpine Club Antarctic Expedition, 1959-60.",NZL,-83.75,172.75,POINT (172.75 -83.75),134,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c12,Mount Ajax,"Ajax, Mount",112614,,Mountain,"A mountain (3,770 m) rising 1 mi WSW of Mount Royalist in the Admiralty Mountains. Named by the NZGSAE, 1957-58, after HMNZS Ajax. The mountain is one of several in this area named for New Zealand ships.",NZL,-71.8,168.45,POINT (168.45 -71.8),141,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c13,Alamein Range,Alamein Range,112615,,Range,"A range lying W of Canham Glacier, in the Freyberg Mountains. Named in association with Lord Bernard Freyberg and the Second New Zealand Expeditionary Force by the Northern Party of NZGSAE, 1963-64.",NZL,-72.0833,163.5,POINT (163.5 -72.083333),160,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c14,Alatna Valley,Alatna Valley,112616,,Valley,"An ice-free valley lying 4 mi N of Mount Gran and trending ENE for about 10 mi along the SE side of the Convoy Range. Parker Calkin, U.S. geologist, made stratigraphic studies in the valley during the 1960-61 season. Named by US-ACAN in 1963 for the USNS Alatna which participated in Operation Deep Freeze 1958-59 and 1959-60, and in keeping with other ship names in the Convoy Range.",NZL,-76.8833,161.1667,POINT (161.166667 -76.883333),165,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c15,Alb Valley,Alb Valley,112617,,Valley,"A name given by the BAE, 1907-09, for a feature which the Northern Party, led by Campbell, of the BAE, 1919-13, later called the Kar Terrace. It is part of the Campbell Glacier.",NZL,-74.7833,163.7667,POINT (163.766667 -74.783333),166,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c16,Albanus Glacier,Albanus Glacier,112618,,Glacier,"A glacier, 25 mi long, flowing W along the S side of Tapley Mountains to enter Scott Glacier just N of Mount Zanuck, in the Queen Maud Mountains. Discovered in December 1934 by the ByrdAE geological party under Quin Blackburn, and named by Byrd for Albanus Phillips, Jr., manufacturer of Cambridge, MD, a patron of the ByrdAE of 1928-30 and 1933-35.",NZL,-85.8667,-151,POINT (-151 -85.866667),167,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c17,Albatross Glacier,Albatross Glacier,112619,,Glacier,Falls south of Prion Glacier. New name for Quaternary Glacier.,NZL,-77.2833,166.5167,POINT (166.516667 -77.283333),168,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c18,Albrecht Penck Glacier,Albrecht Penck Glacier,112620,,Glacier,"A glacier between the Fry Glacier and Evans Piedmont Glacier, draining NE toward Tripp Bay on the coast of Victoria Land. First charted by the BrAE (1907-09) which named this feature for Albrecht Penck, Director of the Institute of Oceanography and of the Geographical Institute in Berlin.",NZL,-76.6667,162.3333,POINT (162.333333 -76.666667),177,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c19,Alcyone Cone,Alcyone Cone,112621,,Cone,"An extinct volcanic cone near the center of The Pleiades, at the W side of the head of Mariner Glacier in Victoria Land. Named by a VUWAE field party to Evans Neve, 1971-72, after Alcyone, the brightest star in the Pleiades constellation.",NZL,-72.7,165.55,POINT (165.55 -72.7),180,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c1a,Alexander Hill,Alexander Hill,112622,,Hill,"Hill, 220 m, with a prominent seaward cliff face, lying S of Harrison Stream and Cinder Hill on the lower ice-free W slopes of Mount Bird, Ross Island. Mapped by the NZGSAE, 1958-59, and named by the NZ-APC for B.N. Alexander, a surveyor with the expedition.",NZL,-77.2833,166.4167,POINT (166.416667 -77.283333),199,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c1b,Alexandra Mountains,Alexandra Mountains,112623,,Mountain,"A group of low, separated mountains in the N portion of Edward VII Peninsula, just SW of Sulzberger Bay in Marie Byrd Land. Discovered in January-February 1902 by the BrNAE during an exploratory cruise of the Discovery along the Ross Ice Shelf. Named for Alexandra, then Queen of England.",NZL,-77.4167,-153.5,POINT (-153.5 -77.416667),205,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c1c,Mount Alexandra,"Alexandra, Mount",112624,,Mountain,"A black, snow-free mountain with unusually good lichens growths on South and West faces (1206 m). Located left of Garwood Glacier. Jane Alexandra was an early NZ botanist with interest in lower plants.",NZL,-78,163.8333,POINT (163.833333 -78),207,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c1d,Alga Lakes,Alga Lakes,112625,,Water body,"Numerous small lakes found on Mawson Oasis. Named by the Southern Party of the NZ Geological and Survey Antarctic Expedition, 1962-63, because of the prolific algal growth found in these lakes.",NZL,-71.1667,161.8333,POINT (161.833333 -71.166667),214,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c1e,Algie Glacier,Algie Glacier,112626,,Glacier,"Glacier about 25 mi long, flowing SE into Nimrod Glacier just W of Nash Range. Named by the N.Z. Ross Sea Committee for the Hon. R.M. Algie who, as Minister in Charge of Scientific and Industrial Research, gave his strong support to the N.Z. party of the CTAE, 1956-58.",NZL,-82.1333,162.0833,POINT (162.083333 -82.133333),217,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c1f,Mount Alice Gade,"Alice Gade, Mount",112627,,Mountain,"Discovered in November 1911 by Capt. Roald Amundsen who named it for Alice Garfield King Gade, wife of Fredrik Herman Gade (brother of John Allyne Gade), the Norwegian minister (ambassador) and consul-general to Brazil, a strong supporter of Amundsen.",NZL,-85.75,-163.6667,POINT (-163.66667 -85.75),221,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c20,Alice Glacier,Alice Glacier,112628,,Glacier,"A tributary glacier, 13 mi long, flowing E from the Queen Alexandra Range to enter Beardmore Glacier at Sirohi Point. Discovered by BrAE (1907-09) and named for the mother of Dr. E.S. Marshall, a member of Shackleton's South Polar Party",NZL,-83.9667,170,POINT (170 -83.966667),222,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c21,All Black Peak,All Black Peak,112629,,Peak,"Main Peak in Crown Hills at the SE end of Lanterman Range, rising to 2,025m on the E side of the head of Johnstone Glacier in the Bowers Mountains. Descriptively named by the NZ-APC in 1983 on the suggestion of geologist M.G. Laird, for colour and for compatibility with Black Glacier to south, and Half Black Peak to west.",NZL,-71.8,163.95,POINT (163.95 -71.8),226,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c22,Mount Allan Thomson,"Allan Thomson, Mount",112630,,Mountain,"Conspicuous mountain surmounted by a dark peak over 1,400 m which stands at the N side of Mackay Glacier, about 3 mi W of the mouth of Cleveland Glacier in Victoria Land. Charted and named by the BrAE (1910-13) for J. Allan Thomson, British geologist who assisted in writing the scientific reports of the BrAE, 1907-09.",NZL,-76.95,161.7167,POINT (161.716667 -76.95),230,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c23,Allegro Valley,Allegro Valley,112631,,Valley,"A steep-sided, glacier-filled valley indenting the E side of Daniels Range just N of White Spur, in the Usarp Mountains. The northern party of the NZGSAE, 1963-64, experienced fine weather here after several days of unpleasant travel; therefore, members named it after Milton's poem ""L'Allegro"" in antithesis with Penseroso Bluff, 14 mi to the north.",NZL,-71.3,160.1667,POINT (160.166667 -71.3),233,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c24,Mount Allen Young,"Allen Young, Mount",112632,,Mountain,"A prominent pyramidal mountain, 2,755 m, standing just S of Fegley Glacier and W of Lennox-King Glacier in the Holland Range. Discovered by the BrAE (1907-09) and named for Sir Allen Young, polar explorer who led the successful search for Benjamin Leigh Smith in the Arctic in 1882.",NZL,-83.45,166.8667,POINT (166.866667 -83.45),237,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c25,Cape Allen,"Allen, Cape",112633,,Cape,"A bare rock point located 3 mi SW of Mount Hope, near the mouth of Beardmore Glacier. The point forms the W side of the S approach to The Gateway. Discovered by the BrAE (1907-09) and named for Sir Robert Allen of the Franklin Relief Expedition to the Arctic.",NZL,-83.55,171,POINT (171 -83.55),238,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c26,Mount Allen,"Allen, Mount",112634,,Mountain,"Peak, 1,400 m, standing between Clark Glacier and the head of Greenwood Valley in Victoria Land. Charted by the VUWAE, 1959-60, and named for A.D. Allen, one of the party's geologists.",NZL,-77.4,162.5333,POINT (162.533333 -77.4),239,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c27,Allison Glacier,Allison Glacier,112635,,Glacier,"Glacier with its head just N of Mount Huggins, descending from the W slopes of Royal Society Range into Skelton Glacier. Named by US-ACAN in 1963 for Lt. Cdr. John K. Allison, USN, officer in charge of the wintering-over detachment of Navy Squadron VX-6 at McMurdo Station, 1959.",NZL,-78.2667,161.9167,POINT (161.916667 -78.266667),248,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c28,Almond,Almond,112636,,,"An almond shaped ridge of granite which separates the two coalescing channels of Pyramid Trough. Given this descriptive name by the Victoria University of Wellington Antarctic Expedition, 1960/61.",NZL,-78.3833,163.6167,POINT (163.616667 -78.383333),259,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c29,Alph Lake,Alph Lake,112637,,Water body,"Named by Griffth Taylor of the BrAE, 1911-13 (Capt. Robert Scott) in association with Alph River.",NZL,-78.2,163.7,POINT (163.7 -78.2),260,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c2a,Alph River,Alph River,112638,,Watercourse,"Named by Griffith Taylor of the BrAE, 1911-13 (Capt. Robert Scott) from a passage in Coleridge's poem: ""Where Alph the sacred river ran, Through caverns measureless to man, Down to a sunless sea.""",NZL,-78.2,163.75,POINT (163.75 -78.2),261,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c2b,Alpha Bluff,Alpha Bluff,112639,,Bluff,"A high bluff on the W side of Shults Peninsula, at the E side of Skelton Glacier. Surveyed and named in 1957 by the N.Z. party of the CTAE (1956-58). Named after the first letter of the Greek alphabet because it is the most southerly of all bluffs on the Skelton Glacier.",NZL,-78.8667,162.4833,POINT (162.483333 -78.866667),262,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c2c,Alt Glacier,Alt Glacier,112640,,Glacier,"The glacier which flows west from the Explorers Range at the north side of Mount Soza. Named by the US ACAN for Jean Alt, IGY observer, meteorologist, Little America V, 1957-58.",NZL,-71.1,162.5167,POINT (162.516667 -71.1),266,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c2d,Altar Mountain,Altar Mountain,112641,,Mountain,"Prominent mountain over 2,000 m high, standing at the S end of Arena Valley in Victoria Land. Indicated but not named on Ferrar's 1907 map. So named by the NZGSAE (1958-59) because of its stepped profile and flat top, similar to pyramids of the Aztec and Mayan civilizations.",NZL,-77.9,160.85,POINT (160.85 -77.9),268,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c2e,The Altiplano,"Altiplano, The",112642,,,Elevated valley between Findlay Ridge and Miers Valley. Elevated valley drew to mind the much larger intermontane basins of the Andes.,NZL,-78.1333,163.9167,POINT (163.916667 -78.133333),273,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c2f,Alvarez Glacier,Alvarez Glacier,112643,,Glacier,"A tributary glacier in the Explorers Range, Bowers Mountains, flowing from the SW side of Stanwix Peak into Rennick Glacier, to the N of Sheehan Glacier. Mapped by USGS from surveys and U.S. Navy air photos, 1960-62. Named by US-ACAN for Lt. Cdr. Jose A. Alvarez, Argentine Navy, an IGY Weather Central meteorologist at Little America V in 1957.",NZL,-70.8833,162.3333,POINT (162.333333 -70.883333),274,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c30,Amorphous Glacier,Amorphous Glacier,112644,,Glacier,"An undulating glacier of indeterminate dimensions, which descends from Mount Abbott to a debris covered terminus.",NZL,-74.7,163.9333,POINT (163.933333 -74.7),302,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c31,Amphibole Peak,Amphibole Peak,112645,,Peak,"The highest peak in the Gabbro Hills (1,660 m), standing 4 mi N of Mount Llano, in the Queen Maud Mountains. So named by the Southern Party of NZGSAE (1963-64) because minerals of the Amphibole group were found on the peak.",NZL,-84.7333,-173.4333,POINT (-173.43333 -84.733333),307,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c32,The Amphitheatre,"Amphitheatre, The",112646,,,"A great cirque, now occupied only by neve, carved on the N side of Mount Dromedary, whose walls rise sheer about 1,700 m from the floor of Roaring Valley on the E side of Royal Society Range. So named by the New Zealand VUWAE, 1960-61, because of the feature's enormous size and near-perfect shape.",NZL,-78.3667,163.05,POINT (163.05 -78.366667),313,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c33,Amphitheatre Glacier,Amphitheatre Glacier,112647,,Glacier,Glacier that flows north from Mt Dromedary into Roaring Valley. The Glacier occupies the Amphitheatre Cirque. Name taken from that of the cirque.,NZL,-78.3,163.0667,POINT (163.066667 -78.3),309,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c34,Amundsen Arm,Amundsen Arm,112648,,Arm,"The Eastern Arm of the Bay of Whales, just north of Framheim, Amundsen's winter quarters. Named by Byrd AE, 1928 - 30, for Captain Roald Amundsen. This feature probably no longer exists because of great changes in the configuration of the Ross Ice Shelf.",NZL,-78.5,-164,POINT (-164 -78.5),315,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c35,Amundsen Coast,Amundsen Coast,112649,,Coast,"That portion of the coast to the S of the Ross Ice Shelf lying between Morris Peak on the E side of Liv Glacier and the W side of the Scott Glacier. Named by NZ-APC in 1961 for Capt. Roald Amundsen, the Norwegian explorer who led his own expedition in 1910-12 to the Antarctic. Setting up a base at Framheim at the edge of the Ross Ice Shelf, he sledged southward across the shelf and discovered a route up the Axel Heiberg Glacier along this coast to reach the polar plateau. He was the first to reach the South Pole, December 14, 1911.",NZL,-85.5,-162,POINT (-162 -85.5),317,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c36,Amundsen Glacier,Amundsen Glacier,112650,,Glacier,"A major glacier, about 4 to 6 mi wide and 80 mi long, originating on the polar plateau where it drains the area to the S and W of Nilsen Plateau, and descending through the Queen Maud Mountains to enter the Ross Ice Shelf just W of MacDonald Nunataks. Discovered by R. Admiral Byrd on the South Pole flight in November 1929. The name was proposed for Roald Amundsen by Laurence Gould, leader of the ByrdAE geological party which sledged past the mouth of the glacier in December 1929.",NZL,-85.5833,-159,POINT (-159 -85.583333),318,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c37,Anare Mountains,Anare Mountains,112651,,Mountain,"A large group of mainly snow-covered peaks and ridges along the N coast of Victoria Land. The group is bounded on the N and E by the Pacific Ocean, on the W by Lillie Glacier, and on the S by Ebbe Glacier and Dennistoun Glacier. Mountains in this area were first sighted by Capt. James Clark Ross in 1841. They were photographed during USN Operation Highjump, 1946-47, and were surveyed by USGS helicopter teams, 1962-63. Named by the northern party of the NZGSAE, 1963-64, for the Australian National Antarctic Research Expedition (ANARE), 1962, under Phillip Law, which performed survey work along the coast.",NZL,-70.9167,166,POINT (166 -70.916667),328,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c38,Anchor Peak,Anchor Peak,112652,91,Peak,"The highest point and the southern extremity of Svend Foyn Island, the largest of the Possession Islands. About 300 ft high. Probably named by Bull in 1895, during his cruise in the Antarctic. Not Archer Peak.",NZL,-77,171,POINT (171 -77),334,New Zealand,554
SCAR_CGA_PLACE_NAMES_SIMPLIFIED.fid--705bf013_176d43914a8_c39,Anderson Heights,Anderson Heights,112653,,Heights,"A roughly rectangular snow-covered tableland, 7 mi long and 6 mi wide, with an elevation somewhat over 2,400 m, located between Mount Bennett and Mount Butters in the E part of the Bush Mountains. Discovered and photographed by USN Operation HighJump (1946-47) on the flights of Feb. 16, 1947, and named by US-ACAN for Lt. George H. Anderson, USN, pilot of Flight 8 of that date from Little America to the South Pole and return.",NZL,-84.8167,-178.25,POINT (-178.25 -84.816667),352,New Zealand,554
